Text,label
Hi,greetings
How are you,greetings
How you are,greetings
anyone Present Is,greetings
anyone Is Present,greetings
Good Day,greetings
up Whats,greetings
How Do You do,greetings
do Do You How,greetings
Do do You How,greetings
How Do do You,greetings
Hey,greetings
Hello,greetings
Greetings,greetings
Goodbye,bye
Again See you,bye
See you Again,bye
Ciao,bye
Hasta Vista La,bye
Hasta La Vista,bye
Au Revior,bye
am I Leaving,bye
Leaving I am,bye
Help Thanks The For,bye
Help Thanks For The,bye
Thanks For Help The,bye
Thanks Help The For,bye
Have A Good Day,bye
Good Day A Have,bye
Have Good A Day,bye
Good A Have Day,bye
Care Take,bye
Take Care,bye
Thanks,bye
made you Who,creator
Who you made,creator
Who made you,creator
Your is Father Who,creator
Father Your Who is,creator
is Father Your Who,creator
Who Father is Your,creator
Who is Creator your,creator
Who Creator is your,creator
Creator your is Who,creator
Creator your Who is,creator
Creator,creator
Father,creator
whats Your Age,age
Your Age whats,age
Are How You Old,age
You Are Old How,age
How Old Are You,age
How Old You Are,age
How Old,age
Old How,age
Age,age
You do can What,functions
You What do can,functions
What do can You,functions
You What can do,functions
is Functionalities What Your,functions
Your Functionalities What is,functions
What Your Functionalities is,functions
is Your What Functionalities,functions
functions,functions
abilities,functions
Uses,functions
Tell Me you What do,functions
Me you What do Tell,functions
What Me do Tell you,functions
Me you do Tell What,functions
do Tell Me What you,functions
What to do if Cuts?,Cuts
How to cure Cuts?,Cuts
Which medicine to apply for Cuts?,Cuts
what to apply on cuts?,Cuts
Cuts,Cuts
how do you treat abrasions?,Abrasions
Do Abrasions cause scars?,Abrasions
Abrasions,Abrasions
what to do if abrasions?,Abrasions
Which medicine to apply for abrasions?,Abrasions
How to cure abrasions?,Abrasions
How do you treat Sting?,Stings
stings,Stings
What to do if you get a sting?,Stings
Which medicine to apply if sting?,Stings
How to remove Splinters,Splinter
How to cure Splinters?,Splinter
What to do if I have splinters?,Splinter
How do you bring a splinter to the surface?,Splinter
How do you treat a sprain?,Sprains
what to do if i get a sprain?,Sprains
Which cream to apply if i get a sprain?,Sprains
Which medicine to apply if I get a sprain?,Sprains
How do you treat a strain?,Strains
what to do if i get a strain?,Strains
Which cream to apply if i get a strain?,Strains
Which medicine to apply if I get a strain?,Strains
How do you diagnose a strain?,Strains
Is heat or ice better for a pulled muscle?,Strains
How do you treat a mild Fever?,Fever
what to do if i get a mild fever?,Fever
Which medicine to take if I get a mild fever?,Fever
fever,Fever
How do you treat nasal Congestion?,NasalCongestion
what to do if i get a nasal congestion?,NasalCongestion
Which medicine to take if I have a nasal congestion?,NasalCongestion
what to do if i have a blocked nose?,NasalCongestion
How do you treat a blocked nose?,NasalCongestion
How long does nasal congestion last?,NasalCongestion
How to cure cough?,Cough
How do you treat cough?,Cough
what to do if i get a cough?,Cough
Which medicine to take if I get cough?,Cough
How do you get rid of cough?,Cough
How do you treat sore throat?,SoreThroat
what to do if i get a sore throat?,SoreThroat
Which medicine to take if I get a sore throat?,SoreThroat
How to cure sore throat?,SoreThroat
How do you treat gas problems?,GastrointestinalProblems
what to do if i have Gastrointestinal problems?,GastrointestinalProblems
Which medicine to take if I get gas problem?,GastrointestinalProblems
How to cure Gas problems?,GastrointestinalProblems
How do you treat Skin problems?,SkinProblems
what to do if i get a skin allergy?,SkinProblems
Which medicine to take if I get a skin allergy?,SkinProblems
How to cure skin allergy?,SkinProblems
How do you treat Abdonominal Pain?,AbdonominalPain
what to do if i get a Abdonominal Pain?,AbdonominalPain
Which medicine to take if I get a Abdonominal Pain?,AbdonominalPain
How to cure Abdonominal Pain?,AbdonominalPain
How do you treat Bruises?,Bruises
what to do if i get a Bruise?,Bruises
Which medicine to take if I get a Bruise?,Bruises
How to cure Bruises?,Bruises
How do you treat a Broken Toe?,BrokenToe
what to do if i get a Broken Toe?,BrokenToe
Which medicine to take if I get a Broken Toe?,BrokenToe
How to cure Broken Toe?,BrokenToe
How do you treat Choking?,Choking
what to do if i get a Choke?,Choking
Which medicine to take if I get Choked?,Choking
How to cure Choking?,Choking
How do you treat a wound?,Wound
what to do if i get a Wound?,Wound
Which medicine to take if I get wounded?,Wound
How to cure a wound?,Wound
How do you treat Diarrhea?,Diarrhea
what to do if i get Diarrhea?,Diarrhea
Which medicine to take if I get Diarrhea?,Diarrhea
How to cure Diarrhea?,Diarrhea
How do you treat a Frost bite?,FrostBite
what to do if i get a Frost bite?,FrostBite
Which medicine to take if I get a Frost bite?,FrostBite
How to cure Frost bite?,FrostBite
How do you treat Heat Exhaustion?,HeatExhaustion
what to do if i feel Exhausted due to heat?,HeatExhaustion
Which medicine to take if I get Exhausted?,HeatExhaustion
How to cure Heat Exhaustion?,HeatExhaustion
How do you treat Heat Stroke?,HeatStroke
what to do if i get a Heat Stroke?,HeatStroke
Which medicine to take if I get Stroke?,HeatStroke
How to cure a Heat Stroke?,HeatStroke
How do you treat a Insect Bite?,InsectBites
what to do if a insect bites me?,InsectBites
Which medicine to take if I get bitten by a insect?,InsectBites
How to cure insect bite?,InsectBites
How do you treat a bleeding nose?,nosebleed
what to do if i my nose is bleeding?,nosebleed
Which medicine to take if I get nose bleed?,nosebleed
How to cure nose bleeding?,nosebleed
How do you treat a Pulled Muscle?,PulledMuscle
what to do if my muscle is pulled?,PulledMuscle
Which medicine to take if I got pulled muscle?,PulledMuscle
How to cure a pulled muscle?,PulledMuscle
How do you treat Rectal Bleeding?,Rectalbleeding
what to do if i get a Rectal Bleeding?,Rectalbleeding
Which medicine to take if I get Rectal Bleeding?,Rectalbleeding
How to cure Rectal Bleeding?,Rectalbleeding
How do you treat Sun Burn?,SunBurn
what to do if i get a Sun Burn?,SunBurn
Which medicine to take if I get Sun Burn?,SunBurn
How to cure a Sun Burn?,SunBurn
How do you treat Testicle Pain?,TesticlePain
what to do if i get a Testicle Pain?,TesticlePain
Which medicine to take if I get a Testicle Pain?,TesticlePain
How to cure Testicle Pain?,TesticlePain
How do you treat a Vertigo?,Vertigo
what to do if i get a Vertigo?,Vertigo
Which medicine to take if I get Vertigo?,Vertigo
How to cure a Vertigo?,Vertigo
How do you treat bleeding?,NormalBleeding
what to do if i get a Bleeding?,NormalBleeding
Which medicine to take if I get bleeding?,NormalBleeding
How to cure Bleeding?,NormalBleeding
How do you treat an eye Injury?,EyeInjury
what to do if i get a eye Injury?,EyeInjury
Which medicine to take if I injured my eye?,EyeInjury
How to cure injured eye?,EyeInjury
How do you treat a chemical burn?,ChemicalBurn
what to do if i get a Chemical Burn?,ChemicalBurn
Which medicine to take if I get burn due to chemicals?,ChemicalBurn
How to cure Chemical Burn?,ChemicalBurn
How do you treat a Poison?,Poison
what to do if i get Poison?,Poison
Which medicine to take if I am poisoned?,Poison
How to cure Poisoning?,Poison
How do you treat broken Teeth ?,Teeth
what to do if my Teeth got broken?,Teeth
Which medicine to take if I get broken teeth?,Teeth
cure broken teeth?,Teeth
How do you treat a seizure?,Seizure
what to do if i get a seizure?,Seizure
Which medicine to take if I get seizure?,Seizure
How to cure seizure?,Seizure
How do you treat a head Injury?,HeadInjury
what to do if i get a Head Injury?,HeadInjury
Which medicine to take if I get injured in the head?,HeadInjury
How to cure Head Injury?,HeadInjury
How do you treat Faint?,Fainting
what to do if i feel like Fainting?,Fainting
Which medicine to take if I get a Faint?,Fainting
How to cure Fainting?,Fainting
How do you treat a mild Headache?,Headache
what to do if i get a mild Headache?,Headache
Which medicine to take if I have a mild headache?,Headache
How to cure a mild headache?,Headache
How do you treat a Cold?,Cold
what to do if i get a mild Cold?,Cold
Which medicine to take if I have a Cold?,Cold
How to cure Cold?,Cold
How do you treat Rashes?,Rash
what to do if i get a Rash?,Rash
Which medicine to take if I have a Rash?,Rash
How to cure Rash?,Rash
How do you treat a snake bite?,snakebite
what to do if i get a snake bite?,snakebite
Which medicine to take if I get a snake bite?,snakebite
How to cure snake bite?,snakebite
i got bit by a snake,snakebite
How do you treat a animal bite?,animalbite
How do you treat a monkey bite?,animalbite
How do you treat a dog bite?,animalbite
what to do if i get a animal bite?,animalbite
Which medicine to take if I get a monekey bite?,animalbite
How to cure dog bite?,animalbite
i got bit by a dog,animalbite
What to do if someone is Drowning?,Drowning
what to do if someone drowned?,Drowning
What steps to take if i see a drowning person?,Drowning
How to help a drowning person?,Drowning
How to give CPR??,CPR
what to do in a CPR?,CPR
What steps to take in a CPR??,CPR
How to help a drowning person in CPR?,CPR
How do you treat a Fracture?,Fracture
what to do if i get a Fracture?,Fracture
Which medicine to take if I have a Fracture?,Fracture
How to cure a Fracture?,Fracture
sore watery throat itchy sneezing nasal congestion nose runny eyes,disease1
eyes congestion itchy watery sneezing runny throat nose nasal sore,disease1
itchy congestion sore eyes runny watery sneezing throat nose nasal,disease1
sneezing sore watery eyes nose congestion nasal throat itchy runny,disease1
itchy runny watery nose congestion nasal sore throat sneezing eyes,disease1
runny sneezing nose itchy eyes sore nasal watery congestion throat,disease1
sore eyes throat nose itchy runny congestion watery sneezing nasal,disease1
nasal sneezing throat nose congestion sore itchy runny watery eyes,disease1
sore watery eyes nose runny congestion nasal sneezing throat itchy,disease1
congestion itchy runny nose sore throat eyes nasal watery sneezing,disease1
watery sneezing throat itchy clearing from eyes nose nasal drip throat cough congestion postnasal scratchy,disease1
watery nasal itchy throat from throat scratchy drip nose cough sneezing clearing congestion eyes postnasal,disease1
scratchy cough eyes drip sneezing itchy congestion throat nose throat clearing postnasal watery from nasal,disease1
nasal eyes itchy throat postnasal nose watery throat scratchy cough from clearing drip sneezing congestion,disease1
drip sneezing throat nose from congestion clearing itchy nasal throat eyes cough postnasal scratchy watery,disease1
throat eyes drip nose postnasal cough congestion itchy throat from clearing scratchy sneezing watery nasal,disease1
sneezing scratchy itchy eyes nasal cough throat clearing nose congestion postnasal watery from drip throat,disease1
scratchy throat postnasal drip nose clearing watery cough itchy throat nasal from sneezing eyes congestion,disease1
congestion nose postnasal itchy nasal sneezing clearing watery throat cough scratchy eyes throat drip from,disease1
congestion throat throat postnasal watery eyes itchy sneezing nasal drip scratchy nose from clearing cough,disease1
watery nasal eyes scratchy drip sneezing congestion postnasal from itchy nose cough throat clearing throat,disease1
nose congestion watery sneezing throat scratchy eyes throat clearing postnasal itchy cough nasal drip from,disease1
scratchy itchy nose watery clearing sneezing eyes congestion throat throat postnasal drip cough nasal from,disease1
throat watery congestion cough eyes itchy postnasal from nose scratchy drip throat sneezing clearing nasal,disease1
itchy eyes postnasal nasal clearing throat throat from scratchy nose watery congestion sneezing drip cough,disease1
of palpitations Feel fainting Have decreased pale Appear shortness rate rapid energy heart breath easily Experience Develop Weakness Fatigue tired,disease2
fainting decreased shortness Feel energy Experience tired Have Weakness palpitations Fatigue breath of Develop Appear easily pale rapid rate heart,disease2
palpitations rapid fainting Weakness Appear energy rate Experience Have tired decreased shortness Develop breath pale Fatigue heart of Feel easily,disease2
decreased shortness pale tired Weakness rapid heart of Have breath rate Appear palpitations energy fainting easily Experience Feel Fatigue Develop,disease2
shortness heart Feel Weakness pale tired Develop Fatigue Appear of breath Experience decreased energy Have palpitations rate rapid fainting easily,disease2
fainting heart Appear Fatigue Feel easily of pale rate Weakness Develop breath tired energy Have palpitations rapid Experience decreased shortness,disease2
easily palpitations rapid Have fainting Fatigue Develop energy Weakness tired Experience rate Feel pale decreased Appear shortness breath heart of,disease2
Feel Fatigue breath Experience fainting tired easily palpitations Weakness decreased Develop rapid shortness energy pale of Appear rate Have heart,disease2
Weakness easily energy fainting rate rapid heart Have tired palpitations breath Appear pale shortness Feel Fatigue Develop of decreased Experience,disease2
tired breath Experience Have decreased Develop Fatigue fainting of pale Weakness heart rate easily Appear Feel energy shortness rapid palpitations,disease2
pale breath Fatigue decreased Have shortness palpitations Appear Weakness tired easily rapid Feel fainting heart Experience Develop of rate energy,disease2
Feel Appear heart pale breath fainting Experience palpitations energy rate easily tired decreased Fatigue of Weakness Develop Have shortness rapid,disease2
Experience Develop rapid Have rate shortness pale heart breath palpitations Fatigue energy fainting decreased Weakness Feel Appear of easily tired,disease2
rapid Appear rate tired fainting energy palpitations breath decreased pale Experience easily heart of Have Develop Fatigue Weakness shortness Feel,disease2
easily of Feel Appear fainting shortness pale Develop rate Fatigue breath tired decreased heart Weakness energy Experience Have rapid palpitations,disease2
palpitations rate decreased Feel Have Develop Weakness breath rapid easily pale shortness heart Appear energy tired of Fatigue fainting Experience,disease2
energy Appear pale rate Weakness rapid Fatigue heart shortness Develop of Feel fainting Experience tired breath Have easily palpitations decreased,disease2
Weakness Feel energy breath rate fainting pale shortness heart Appear Experience Fatigue Develop of decreased rapid tired Have easily palpitations,disease2
Appear Develop Weakness shortness Fatigue palpitations tired decreased rate breath fainting pale rapid energy heart Feel Experience Have easily of,disease2
tired of Fatigue rapid Have energy fainting heart palpitations rate breath Develop decreased Weakness pale easily shortness Feel Appear Experience,disease2
congestion Headaches Cough body nosesneezing throat symptoms Nasal Sore runny fever aches,disease3
aches Sore body fever runny congestion throat nosesneezing symptoms Cough Headaches Nasal,disease3
Cough body throat aches Sore nosesneezing Headaches fever congestion runny symptoms Nasal,disease3
runny aches symptoms body nosesneezing congestion Headaches Cough Sore Nasal throat fever,disease3
body Sore fever throat nosesneezing congestion Cough Headaches aches Nasal runny symptoms,disease3
symptoms Headaches Sore fever Cough congestion body nosesneezing runny Nasal throat aches,disease3
throat Nasal Cough runny Headaches aches nosesneezing body Sore fever symptoms congestion,disease3
Nasal nosesneezing body congestion aches runny Cough Headaches throat symptoms Sore fever,disease3
Cough throat symptoms aches runny Headaches congestion body Sore fever nosesneezing Nasal,disease3
Nasal body Sore congestion symptoms runny throat Cough nosesneezing Headaches fever aches,disease3
body Sore congestion symptoms fever aches throat nosesneezing Nasal Headaches Cough runny,disease3
Cough symptoms congestion aches throat body fever Headaches Sore nosesneezing runny Nasal,disease3
cough breath pain chest of shortness,disease4
chest pain breath of shortness cough,disease4
cough breath shortness pain of chest,disease4
pain breath of shortness cough chest,disease4
of pain breath cough chest shortness,disease4
cough of pain shortness chest breath,disease4
agitation quarrelsomeness loss irritability of orientation,disease5
of orientation loss agitation irritability quarrelsomeness,disease5
orientation loss quarrelsomeness irritability of agitation,disease5
loss irritability quarrelsomeness agitation of orientation,disease5
of loss orientation irritability agitation quarrelsomeness,disease5
quarrelsomeness irritability agitation orientation loss of,disease5
of tenderness periods Food cravings breast swelling absence menstrual,disease6
of swelling menstrual Food periods tenderness absence cravings breast,disease6
periods menstrual cravings absence tenderness of Food breast swelling,disease6
Food breast absence tenderness menstrual swelling of cravings periods,disease6
swelling of cravings periods absence tenderness breast menstrual Food,disease6
breast menstrual absence cravings of swelling periods Food tenderness,disease6
absence tenderness breast menstrual swelling of Food periods cravings,disease6
of cravings swelling tenderness Food menstrual periods absence breast,disease6
cravings swelling tenderness menstrual periods absence Food breast of,disease6
sweating loss weight nervousness heart intolerance agitation to a heat tremor rate rapid excessive loss hair fatigue,disease7
excessive intolerance fatigue a loss rapid tremor heat nervousness loss weight sweating rate to agitation heart hair,disease7
loss heat weight agitation a rate fatigue tremor to intolerance rapid sweating excessive nervousness hair loss heart,disease7
heart excessive sweating fatigue weight intolerance a tremor heat agitation loss nervousness hair loss rate to rapid,disease7
loss heat hair sweating heart excessive a tremor rate loss agitation rapid nervousness intolerance to weight fatigue,disease7
weight intolerance rapid loss sweating hair to agitation rate a nervousness loss excessive heat fatigue tremor heart,disease7
rapid rate hair excessive fatigue heart sweating intolerance weight nervousness loss to a loss agitation heat tremor,disease7
loss a agitation weight intolerance to heart rate nervousness sweating fatigue hair loss tremor rapid heat excessive,disease7
loss heart weight tremor nervousness heat a excessive to rate agitation hair sweating intolerance rapid loss fatigue,disease7
loss heart rate intolerance heat a fatigue sweating nervousness weight tremor agitation hair loss excessive rapid to,disease7
heat to heart weight loss fatigue rate loss tremor a sweating rapid nervousness hair excessive intolerance agitation,disease7
weight sweating a rapid rate hair excessive agitation loss heat intolerance loss fatigue to tremor heart nervousness,disease7
agitation sweating loss heart nervousness loss heat to rapid weight fatigue hair tremor a intolerance excessive rate,disease7
tremor fatigue heat heart hair a to nervousness sweating agitation loss rate rapid weight loss excessive intolerance,disease7
agitation excessive loss hair heart heat rapid a nervousness fatigue tremor rate sweating to loss weight intolerance,disease7
excessive sweating tremor nervousness intolerance rate agitation a loss to heart loss hair fatigue weight heat rapid,disease7
rapid agitation fatigue loss sweating excessive tremor intolerance to rate weight nervousness loss heat hair heart a,disease7
fatigue cramps dry intolerance muscle gain weight depression skin sleepiness cold mild,disease8
gain weight mild cold muscle intolerance depression cramps dry fatigue skin sleepiness,disease8
dry gain intolerance cold skin depression weight sleepiness fatigue cramps muscle mild,disease8
skin cramps depression cold gain intolerance dry fatigue muscle mild weight sleepiness,disease8
mild sleepiness cold intolerance weight fatigue depression cramps skin dry muscle gain,disease8
fatigue intolerance weight cramps skin gain muscle cold mild sleepiness depression dry,disease8
dry cold weight sleepiness muscle gain cramps skin depression intolerance mild fatigue,disease8
dry fatigue gain weight muscle intolerance sleepiness cramps cold mild skin depression,disease8
intolerance fatigue cold depression mild dry skin weight sleepiness gain muscle cramps,disease8
muscle intolerance gain weight cramps dry sleepiness skin depression fatigue cold mild,disease8
fatigue mild intolerance cold muscle weight gain cramps skin sleepiness dry depression,disease8
mild depression skin cramps weight dry muscle gain intolerance cold sleepiness fatigue,disease8
thirst dehydration hunger increased urination increased,disease9
hunger urination increased thirst dehydration increased,disease9
urination dehydration hunger increased thirst increased,disease9
urination dehydration increased hunger increased thirst,disease9
thirst hunger urination increased dehydration increased,disease9
increased dehydration hunger increased urination thirst,disease9
chills ulcers sweats swollen muscle aches lymph mouth throat sore nodes night fever joint,disease10
mouth joint night throat sweats sore chills fever muscle lymph nodes ulcers swollen aches,disease10
throat lymph joint swollen sore night chills sweats aches nodes ulcers muscle fever mouth,disease10
swollen fever sweats throat lymph chills aches ulcers muscle joint sore mouth night nodes,disease10
night fever chills swollen throat sore mouth ulcers nodes sweats lymph muscle joint aches,disease10
chills mouth muscle lymph fever sore ulcers swollen nodes night throat sweats aches joint,disease10
sore sweats throat joint nodes night mouth aches swollen chills ulcers fever muscle lymph,disease10
nodes mouth sore fever chills ulcers night swollen aches throat lymph muscle joint sweats,disease10
sweats throat aches chills sore mouth fever ulcers swollen nodes joint lymph night muscle,disease10
joint chills muscle lymph throat ulcers fever aches mouth sore sweats night nodes swollen,disease10
nodes joint muscle ulcers fever sweats aches throat chills lymph night sore mouth swollen,disease10
joint night ulcers fever sweats lymph aches sore chills nodes mouth throat muscle swollen,disease10
muscle chills sore fever swollen mouth throat night nodes ulcers sweats joint lymph aches,disease10
joint aches chills lymph throat ulcers mouth nodes fever swollen sore night sweats muscle,disease10
in shortness pain of blurred vision headache chest nosebleeds the breath blood fatigue urine dizziness,disease11
fatigue dizziness pain headache nosebleeds blood chest breath of the urine vision blurred shortness in,disease11
fatigue dizziness chest blurred the pain nosebleeds shortness of urine in vision breath headache blood,disease11
nosebleeds blood pain shortness chest in breath vision of the dizziness headache fatigue blurred urine,disease11
pain shortness nosebleeds breath in vision fatigue of dizziness blurred blood headache the urine chest,disease11
shortness blurred fatigue breath in pain urine blood headache nosebleeds the of vision chest dizziness,disease11
the pain vision chest blurred breath urine headache in blood of dizziness fatigue shortness nosebleeds,disease11
of urine pain breath shortness headache blurred the chest in vision nosebleeds dizziness fatigue blood,disease11
breath vision nosebleeds fatigue chest the blood in dizziness blurred headache of urine pain shortness,disease11
blood in blurred of chest nosebleeds shortness headache urine fatigue breath pain vision the dizziness,disease11
blurred shortness urine in dizziness pain the vision fatigue blood chest nosebleeds breath headache of,disease11
headache dizziness nosebleeds urine blurred pain fatigue the vision breath blood in shortness chest of,disease11
shortness chest urine blood pain nosebleeds blurred in fatigue dizziness headache breath vision the of,disease11
of dizziness headache fatigue vision blood breath blurred the pain urine shortness chest nosebleeds in,disease11
headache of shortness dizziness the blood urine pain chest breath vision fatigue in blurred nosebleeds,disease11
of stiffness muscle fatigue of energy aches appetite ache fever lack loss,disease12
aches of lack of loss ache energy fatigue fever muscle stiffness appetite,disease12
of lack of loss fatigue stiffness appetite fever muscle energy aches ache,disease12
muscle appetite fever fatigue aches lack stiffness energy ache of of loss,disease12
of fever fatigue ache muscle appetite lack stiffness of energy aches loss,disease12
energy stiffness muscle of loss fatigue aches lack of fever appetite ache,disease12
lack muscle loss of appetite aches stiffness fatigue ache energy fever of,disease12
aches energy lack fatigue of of loss stiffness ache appetite muscle fever,disease12
energy ache loss fatigue of of stiffness appetite muscle lack aches fever,disease12
muscle appetite energy fever stiffness of loss aches fatigue lack of ache,disease12
muscle appetite energy ache loss of of fatigue fever stiffness lack aches,disease12
fever stiffness of appetite energy aches fatigue of ache muscle loss lack,disease12
fatigue the abdomen jaundice upper inflamed of in right pain appetite nausea loss liver,disease13
the inflamed loss upper of abdomen liver in pain jaundice appetite nausea right fatigue,disease13
loss appetite nausea inflamed right of in fatigue the liver abdomen upper pain jaundice,disease13
right upper loss inflamed in abdomen nausea liver the fatigue of appetite pain jaundice,disease13
loss liver appetite the of upper pain jaundice inflamed right nausea abdomen fatigue in,disease13
pain jaundice fatigue appetite upper of right in liver inflamed the abdomen nausea loss,disease13
jaundice liver appetite in right of pain inflamed fatigue nausea upper loss the abdomen,disease13
abdomen right nausea the upper inflamed jaundice in fatigue liver pain of loss appetite,disease13
the nausea jaundice upper pain abdomen of right inflamed appetite loss fatigue in liver,disease13
liver in abdomen of fatigue right jaundice the inflamed pain upper loss appetite nausea,disease13
the liver fatigue abdomen appetite inflamed loss upper nausea of jaundice right pain in,disease13
of abdomen the upper liver jaundice in nausea pain right inflamed appetite fatigue loss,disease13
pain of liver appetite jaundice upper nausea inflamed loss abdomen fatigue in right the,disease13
pain upper loss the of jaundice right abdomen appetite liver inflamed fatigue in nausea,disease13
fever fever pain exhaustion headache muscle rash joint severe headache,disease14
