patterns,response,tags
Hi,"['Hello Human', 'Good To See You Again', 'Hey, How Can I Help You', 'Welcome HomoSapien']",greetings
How are you,"['Hello Human', 'Good To See You Again', 'Hey, How Can I Help You', 'Welcome HomoSapien']",greetings
How you are,"['Hello Human', 'Good To See You Again', 'Hey, How Can I Help You', 'Welcome HomoSapien']",greetings
anyone Present Is,"['Hello Human', 'Good To See You Again', 'Hey, How Can I Help You', 'Welcome HomoSapien']",greetings
anyone Is Present,"['Hello Human', 'Good To See You Again', 'Hey, How Can I Help You', 'Welcome HomoSapien']",greetings
Good Day,"['Hello Human', 'Good To See You Again', 'Hey, How Can I Help You', 'Welcome HomoSapien']",greetings
up Whats,"['Hello Human', 'Good To See You Again', 'Hey, How Can I Help You', 'Welcome HomoSapien']",greetings
How Do You do,"['Hello Human', 'Good To See You Again', 'Hey, How Can I Help You', 'Welcome HomoSapien']",greetings
do Do You How,"['Hello Human', 'Good To See You Again', 'Hey, How Can I Help You', 'Welcome HomoSapien']",greetings
Do do You How,"['Hello Human', 'Good To See You Again', 'Hey, How Can I Help You', 'Welcome HomoSapien']",greetings
How Do do You,"['Hello Human', 'Good To See You Again', 'Hey, How Can I Help You', 'Welcome HomoSapien']",greetings
Hey,"['Hello Human', 'Good To See You Again', 'Hey, How Can I Help You', 'Welcome HomoSapien']",greetings
Hello,"['Hello Human', 'Good To See You Again', 'Hey, How Can I Help You', 'Welcome HomoSapien']",greetings
Greetings,"['Hello Human', 'Good To See You Again', 'Hey, How Can I Help You', 'Welcome HomoSapien']",greetings
Goodbye,"['Thanks For The Talk', 'Hopefully Wont see you soon', 'Talk to You Later', 'GoodBye', 'BayMin - The MediBot At Your Service, Anytime Anyplace Anywhere']",bye
Again See you,"['Thanks For The Talk', 'Hopefully Wont see you soon', 'Talk to You Later', 'GoodBye', 'BayMin - The MediBot At Your Service, Anytime Anyplace Anywhere']",bye
See you Again,"['Thanks For The Talk', 'Hopefully Wont see you soon', 'Talk to You Later', 'GoodBye', 'BayMin - The MediBot At Your Service, Anytime Anyplace Anywhere']",bye
Ciao,"['Thanks For The Talk', 'Hopefully Wont see you soon', 'Talk to You Later', 'GoodBye', 'BayMin - The MediBot At Your Service, Anytime Anyplace Anywhere']",bye
Hasta Vista La,"['Thanks For The Talk', 'Hopefully Wont see you soon', 'Talk to You Later', 'GoodBye', 'BayMin - The MediBot At Your Service, Anytime Anyplace Anywhere']",bye
Hasta La Vista,"['Thanks For The Talk', 'Hopefully Wont see you soon', 'Talk to You Later', 'GoodBye', 'BayMin - The MediBot At Your Service, Anytime Anyplace Anywhere']",bye
Au Revior,"['Thanks For The Talk', 'Hopefully Wont see you soon', 'Talk to You Later', 'GoodBye', 'BayMin - The MediBot At Your Service, Anytime Anyplace Anywhere']",bye
am I Leaving,"['Thanks For The Talk', 'Hopefully Wont see you soon', 'Talk to You Later', 'GoodBye', 'BayMin - The MediBot At Your Service, Anytime Anyplace Anywhere']",bye
